EventCount;s1;sd;dt;s2d;s3d;s4d;s5d;s6d;s7d;s8d;s9d;s10d;s2;s3;s4;s5;s6;s7;s8;s9;s10;s234;s567;s8910;s99
1;2;9;17;0;0;0;0;0;0;0;8.28403193347643;0;100.88373369824464;13.18990117568235;0.80863193851547;99.10918955915788;17.28182530596673;0.817744703348067;78.95605582190358;17.331917142420558;0.80863193851547;918.7962990719311;1171.3214210904032;944.9059811993544;1171.5388157374182
2;1;9;17;0;0;0;0;0;0;0;8.06163196406627;0;101.08368273259693;12.886767520660207;0.7726078955656;99.44770415473327;16.929118227478728;0.76123829034388;79.44770415473327;16.95993420951187;0.76123829034388;932.8124765719982;1218.8691649368332;975.5139984233314;932.9903770158843
3;1;9;17;0;0;0;0;0;0;0;7.84593721670016;0;101.12785194702428;12.504072198481232;0.9365343399277024;99.9372130654706;16.641760697863997;0.9333610569240874;79.9372130654706;16.564729306214083;0.9333610569240874;749.3273589483144;989.7897734631869;788.0427930484695;749.4559861785895
4;1;9;17;0;0;0;0;0;0;0;7.63769382479968;0;101.19040300803222;12.261137541065965;1.158810819473388;100.2910512424923;16.36757366166351;1.166751360447058;80.2910512424923;16.186420574063348;1.166751360447058;496.8166534246617;645.3489571723223;510.93551281360106;496.900102639411
5;1;9;17;0;0;0;0;0;0;0;7.4376221459832;0;101.25061923598562;12.163959753569877;1.235077363988859;100.44389208940714;16.141286616960137;1.246831232188302;80.44389208940714;15.860097689951736;1.246831232188302;405.75104250480285;516.1029808596418;406.1379928323149;405.80545156938234
6;2;6;17;0;0;0;0;6.3941139252589;0;0;0;0;101.07852793479881;11.986634494975739;1.0999756073761695;100.29223130488016;22.511685236815197;1.0952148641677804;80.42122899283957;11.986634494975739;1.0999756073761695;549.5994845065348;1033.7218573663602;437.2784893183002;1033.7712426823703
7;2;6;18;0;0;0;0;11.59643150971175;0;0;0;0;100.87644582912391;11.912414838849374;0.861202870203523;100.23010293690734;27.627664139794376;0.867812257336688;80.3228039640042;11.912414838849374;0.861202870203523;782.9264036368248;1790.2305503139535;623.4046364409847;1790.3011129427769
8;3;6;18;0;0;0;0;11.8862188234398;0;0;0;0;100.6531866393891;11.91128718846992;0.750039574069998;100.27429749770022;21.854396600189816;0.750039574069998;80.4166176010197;11.90874542505236;0.761942451495236;877.1960377148517;1603.3889438581043;692.8643510503626;692.9783368081893
9;3;6;18;0;0;0;0;12.17018597131978;0;0;0;0;100.43890844602694;11.961523878314681;0.868688740784953;100.36831534288373;22.046616863974577;0.868688740784953;80.31749443315375;11.839959445810448;0.874941657890431;775.8995817436088;1429.076940221658;609.6023121991052;609.7725921455964
10;3;6;18;0;0;0;0;12.44745673693641;0;0;0;0;100.25788216283014;12.031386945996871;1.108064873649324;100.62026606856709;22.25511531446507;1.108064873649324;80.45403599029174;11.902565623027254;1.10291892728507;538.4588799137988;999.6169988464363;431.8749863136321;432.10139355399684
